detector,dataset,granularity,vocab_id,strategy,threshold,risk,coverage,ucb_risk,num_kept
mock,toy_det,fine,6e90290caaca,flat,0.4804847718446883,1.0,0.5,1.0,21
mock,toy_det,fine,6e90290caaca,flat,0.5794573001478787,1.0,0.3333333333333333,1.0,14
mock,toy_det,fine,6e90290caaca,flat,0.5820360165325061,1.0,0.16666666666666666,1.0,7
mock,toy_det,fine,6e90290caaca,flat,0.5834059596118395,1.0,0.16666666666666666,1.0,7
mock,toy_det,fine,6e90290caaca,flat,1.0,1.0,0.0,1.0,0
mock,toy_det,fine,6e90290caaca,hierarchy,0.1290089349997138,1.0,1.0,1.0,42
mock,toy_det,fine,6e90290caaca,hierarchy,0.14107576905420988,1.0,0.8333333333333334,1.0,35
mock,toy_det,fine,6e90290caaca,hierarchy,0.163789809627379,1.0,0.8333333333333334,1.0,35
mock,toy_det,fine,6e90290caaca,hierarchy,0.3144455842645535,1.0,0.6666666666666666,1.0,28
mock,toy_det,fine,6e90290caaca,hierarchy,0.4804847718446883,1.0,0.5,1.0,21
mock,toy_det,fine,6e90290caaca,hierarchy,0.5794573001478787,1.0,0.3333333333333333,1.0,14
mock,toy_det,fine,6e90290caaca,hierarchy,0.5820360165325061,1.0,0.16666666666666666,1.0,7
mock,toy_det,fine,6e90290caaca,hierarchy,0.5834059596118395,1.0,0.16666666666666666,1.0,7
mock,toy_det,fine,6e90290caaca,hierarchy,1.0,1.0,0.0,1.0,0
mock,toy_det,fine,80a9718ced4a,flat,0.1477162135377972,1.0,1.0,1.0,14
mock,toy_det,fine,80a9718ced4a,flat,0.1483546439755364,1.0,0.5,1.0,7
mock,toy_det,fine,80a9718ced4a,flat,0.17836087454928023,1.0,0.5,1.0,7
mock,toy_det,fine,80a9718ced4a,flat,0.17899930498701944,1.0,0.5,1.0,7
mock,toy_det,fine,80a9718ced4a,flat,1.0,1.0,0.0,1.0,0
mock,toy_det,fine,80a9718ced4a,hierarchy,0.1477162135377972,1.0,1.0,1.0,14
mock,toy_det,fine,80a9718ced4a,hierarchy,0.1483546439755364,1.0,0.5,1.0,7
mock,toy_det,fine,80a9718ced4a,hierarchy,0.17836087454928023,1.0,0.5,1.0,7
mock,toy_det,fine,80a9718ced4a,hierarchy,0.17899930498701944,1.0,0.5,1.0,7
mock,toy_det,fine,80a9718ced4a,hierarchy,1.0,1.0,0.0,1.0,0
mock,toy_det,mixed,582eef73297a,flat,0.2976847521046062,1.0,1.0,1.0,14
mock,toy_det,mixed,582eef73297a,flat,0.3050829444547671,1.0,0.5,1.0,7
mock,toy_det,mixed,582eef73297a,flat,0.6527979849123485,1.0,0.5,1.0,7
mock,toy_det,mixed,582eef73297a,flat,0.6601961772625095,1.0,0.5,1.0,7
mock,toy_det,mixed,582eef73297a,flat,1.0,1.0,0.0,1.0,0
mock,toy_det,mixed,582eef73297a,hierarchy,0.2976847521046062,1.0,1.0,1.0,14
mock,toy_det,mixed,582eef73297a,hierarchy,0.3050829444547671,1.0,0.5,1.0,7
mock,toy_det,mixed,582eef73297a,hierarchy,0.6527979849123485,1.0,0.5,1.0,7
mock,toy_det,mixed,582eef73297a,hierarchy,0.6601961772625095,1.0,0.5,1.0,7
mock,toy_det,mixed,582eef73297a,hierarchy,1.0,1.0,0.0,1.0,0
mock,toy_det,mixed,efc6edc91192,flat,0.05429634177900572,1.0,1.0,1.0,14
mock,toy_det,mixed,efc6edc91192,flat,0.06533898844118162,1.0,0.5,1.0,7
mock,toy_det,mixed,efc6edc91192,flat,0.5843433815634778,1.0,0.5,1.0,7
mock,toy_det,mixed,efc6edc91192,flat,0.5953860282256537,1.0,0.5,1.0,7
mock,toy_det,mixed,efc6edc91192,flat,1.0,1.0,0.0,1.0,0
mock,toy_det,mixed,efc6edc91192,hierarchy,0.05429634177900572,1.0,1.0,1.0,14
mock,toy_det,mixed,efc6edc91192,hierarchy,0.06533898844118162,1.0,0.5,1.0,7
mock,toy_det,mixed,efc6edc91192,hierarchy,0.5843433815634778,1.0,0.5,1.0,7
mock,toy_det,mixed,efc6edc91192,hierarchy,0.5953860282256537,1.0,0.5,1.0,7
mock,toy_det,mixed,efc6edc91192,hierarchy,1.0,1.0,0.0,1.0,0
mock,toy_det,standard,90e6f0989452,flat,0.2203568246425125,1.0,1.0,1.0,14
mock,toy_det,standard,90e6f0989452,flat,0.2332277389453229,1.0,0.5,1.0,7
mock,toy_det,standard,90e6f0989452,flat,0.8381607111774453,1.0,0.5,1.0,7
mock,toy_det,standard,90e6f0989452,flat,0.8510316254802557,1.0,0.5,1.0,7
mock,toy_det,standard,90e6f0989452,flat,1.0,1.0,0.0,1.0,0
mock,toy_det,standard,90e6f0989452,hierarchy,0.2203568246425125,1.0,1.0,1.0,14
mock,toy_det,standard,90e6f0989452,hierarchy,0.2332277389453229,1.0,0.5,1.0,7
mock,toy_det,standard,90e6f0989452,hierarchy,0.8381607111774453,1.0,0.5,1.0,7
mock,toy_det,standard,90e6f0989452,hierarchy,0.8510316254802557,1.0,0.5,1.0,7
mock,toy_det,standard,90e6f0989452,hierarchy,1.0,1.0,0.0,1.0,0
mock,toy_det,standard,df6d273a01d3,flat,0.1414643539475653,1.0,1.0,1.0,21
mock,toy_det,standard,df6d273a01d3,flat,0.14465403866883542,1.0,0.6666666666666666,1.0,14
mock,toy_det,standard,df6d273a01d3,flat,0.158830415207814,1.0,0.6666666666666666,1.0,14
mock,toy_det,standard,df6d273a01d3,flat,0.49754487122219865,1.0,0.3333333333333333,1.0,7
mock,toy_det,standard,df6d273a01d3,flat,0.5737556238254357,1.0,0.3333333333333333,1.0,7
mock,toy_det,standard,df6d273a01d3,flat,1.0,1.0,0.0,1.0,0
mock,toy_det,standard,df6d273a01d3,hierarchy,0.1414643539475653,1.0,1.0,1.0,21
mock,toy_det,standard,df6d273a01d3,hierarchy,0.14465403866883542,1.0,0.6666666666666666,1.0,14
mock,toy_det,standard,df6d273a01d3,hierarchy,0.158830415207814,1.0,0.6666666666666666,1.0,14
mock,toy_det,standard,df6d273a01d3,hierarchy,0.49754487122219865,1.0,0.3333333333333333,1.0,7
mock,toy_det,standard,df6d273a01d3,hierarchy,0.5737556238254357,1.0,0.3333333333333333,1.0,7
mock,toy_det,standard,df6d273a01d3,hierarchy,1.0,1.0,0.0,1.0,0
