detector,dataset,granularity,strategy,alpha,ucb_method,delta,mean_test_risk,mean_test_coverage,target_met_rate,mean_guarantee_margin,worst_group_target_met_rate,worst_group_test_risk
mock,toy_det,counterfactual,groupwise,0.1,clopper_pearson,0.05,0.03076956866934819,0.9469790911774969,1.0,0.025964915734058038,1.0,0.034391218417321616
mock,toy_det,counterfactual,groupwise,0.2,clopper_pearson,0.05,0.07029392044607473,0.9873015873015873,1.0,0.04955235933008758,1.0,0.10280344153325793
mock,toy_det,counterfactual,hierarchy,0.05,clopper_pearson,0.05,0.016932921304231605,0.9335572605723182,1.0,0.010556273395704108,,
mock,toy_det,counterfactual,hierarchy,0.1,clopper_pearson,0.05,0.06416815502544443,0.9808061636228156,1.0,0.009538632906616301,,
mock,toy_det,counterfactual,hierarchy,0.2,clopper_pearson,0.05,0.08222654227968666,1.0,1.0,0.08508463776785118,,
mock,toy_det,fine,flat,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0413292853103632,,
mock,toy_det,fine,flat,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0913292853103632,,
mock,toy_det,fine,flat,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.19132928531036322,,
mock,toy_det,fine,groupwise,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.014964969395057948,1.0,0.0
mock,toy_det,fine,groupwise,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.06496496939505793,1.0,0.0
mock,toy_det,fine,groupwise,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.16496496939505792,1.0,0.0
mock,toy_det,fine,hierarchy,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0413292853103632,,
mock,toy_det,fine,hierarchy,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0913292853103632,,
mock,toy_det,fine,hierarchy,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.19132928531036322,,
mock,toy_det,mixed,flat,0.05,clopper_pearson,0.05,0.012221396049056326,0.8679757343550447,0.8333333333333334,0.029063200407990458,,
mock,toy_det,mixed,flat,0.1,clopper_pearson,0.05,0.027494423343582323,0.8960727969348659,1.0,0.06507274376349971,,
mock,toy_det,mixed,flat,0.2,clopper_pearson,0.05,0.05749230810066434,0.9431673052362708,1.0,0.12781468691684897,,
mock,toy_det,mixed,groupwise,0.05,clopper_pearson,0.05,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.30871243386503044,0.6666666666666666,0.3333333333333333
mock,toy_det,mixed,groupwise,0.1,clopper_pearson,0.05,0.01140456182472989,0.9663154533844188,1.0,0.05034592069888088,1.0,0.013929618768328446
mock,toy_det,mixed,groupwise,0.2,clopper_pearson,0.05,0.021534563879840752,0.9803639846743296,1.0,0.13614129196906377,1.0,0.025925925925925925
mock,toy_det,mixed,hierarchy,0.05,clopper_pearson,0.05,0.009599673202614378,0.9636015325670497,0.8333333333333334,0.03451390960864717,,
mock,toy_det,mixed,hierarchy,0.1,clopper_pearson,0.05,0.014035087719298246,0.9698275862068965,1.0,0.07766932133270459,,
mock,toy_det,mixed,hierarchy,0.2,clopper_pearson,0.05,0.027228581338883107,0.986749680715198,1.0,0.15962938886339093,,
mock,toy_det,standard,flat,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0413292853103632,,
mock,toy_det,standard,flat,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0913292853103632,,
mock,toy_det,standard,flat,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.19132928531036322,,
mock,toy_det,standard,groupwise,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.014964969395057948,1.0,0.0
mock,toy_det,standard,groupwise,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.06496496939505793,1.0,0.0
mock,toy_det,standard,groupwise,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.16496496939505792,1.0,0.0
mock,toy_det,standard,hierarchy,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0413292853103632,,
mock,toy_det,standard,hierarchy,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0913292853103632,,
mock,toy_det,standard,hierarchy,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.19132928531036322,,
